20180806-21-44
2,1,1266.14,7.31071,0,2
3,1,1220.35,-58.9091,79.9799,2
3,0,1268.24,-116.005,116.171,2
2,1,877.776,8.50831,396.76,1
7,1,878.019,8.33912,396.514,1
2,1,1208.43,-312.921,319.81,2
3,1,1275.56,64.5873,64.5968,2
2,1,829.094,115.363,460.05,2
8,0,-1269.99,636.35,636.365,3
2,1,-950.865,-624.776,703.597,3
2,1,1269.35,2.84402,0,2
3,1,-1295.72,-147.543,149.068,2
2,1,-1039.51,-549.547,597.659,2
MIN,1919.54
PTS,19
FGM,7
FGA,9
3PM,1
3PA,2
FTM,2
FTA,2
REB,8
AST,3
STL,1
BLK,2
TOV,1
PLM,7
---All data saved. Voila!---
Jazz vs Heat
